0,SansAnimation,,,,,,,,
,,,,,,,,,
0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTelePort,323.5,308.5,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SansText,welp. it was worth a           shot.,,,,,,,
0,SansHead,NoEyes,,,,,,,
0.1,SansText,guess you like doing                        things the hard way.huh?,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5,sound,mus_zz_megalovania,1.5,,,,,,
0,SansSweat,0,,,,,,,
0.5,BoneStab,0,70,0.1,0.2,,,,
0,BoneStab,1,70,0.1,0.2,,,,
0,BoneStab,2,70,0.1,0.2,,,,
0,BoneStab,3,70,0.1,0.2,,,,
0.4,,,,,,,,,
0,sansHead,NOeyes,,,,,,,
0,SansBody,HandRight,,,,,,,
0,sansslam,0,,,,,,,
0,bonestab,0,30,0.25,0.1,,,,
0,bonestab,2,110,0.1,0.05,,,,
0.35,,,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,sansslam,2,,,,,,,
0,bonestab,0,110,0.1,0.05,,,,
0,bonestab,2,30,0.25,0.1,,,,
0.35,,,,,,,,,
0,SansBody,HandRight,,,,,,,
0,sansslam,0,,,,,,,
0,bonestab,0,30,0.25,1,,,,
0,bonestab,2,110,0.1,0.1,,,,
0.35,,,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,sansslam,2,,,,,,,
0,bonestab,0,110,0.1,0.1,,,,
0,bonestab,2,30,0.25,0.6,,,,
0.59,,,,,,,,,
0,sansanimation,headbob,,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,2,551,76,451,176,135,0.201,0
0,GasterBlaster,2,91,76,191,176,45,0.201,0
0.09,GasterBlaster,1,551,56,451,156,135,0.201,0.155
0,GasterBlaster,1,91,56,191,156,45,0.201,0.155
0.09,GasterBlaster,1,551,36,451,136,135,0.201,0.155
0,GasterBlaster,1,91,36,191,136,45,0.201,0.155
0.09,GasterBlaster,0,551,16,451,116,135,0.201,0.155
0,GasterBlaster,0,91,16,191,116,45,0.201,0.155
0,bonestab,1,70,0.1,0.9,,,,
0.09,GasterBlaster,0,551,-6,451,96,135,0.201,0.155
0,GasterBlaster,0,91,-6,191,96,45,0.201,0.155
0.09,GasterBlaster,0,551,-26,451,76,135,0.201,0.155
0,GasterBlaster,0,91,-26,191,76,45,0.201,0.155
1,,,,,,,,,
0,GasterBlaster,2,640,0,449,176,135,0.2,0.255
0,GasterBlaster,2,0,480,189,436,315,0.2,0.255
0,GasterBlaster,2,640,480,449,436,225,0.2,0.255
0,GasterBlaster,2,0,0,189,176,45,0.2,0.255
0.1,GasterBlaster,2,0,0,259,166,90,0.2,0.255
0,GasterBlaster,2,640,480,379,446,270,0.2,0.255
0,GasterBlaster,2,640,480,449,366,180,0.2,0.255
0,GasterBlaster,2,0,240,139,306,0,0.2,0.255
0,GasterBlaster,2,640,240,426,306,180,0.2,0.255
0.677,,,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.2,0.3
0,GasterBlaster,1,640,480,379,446,270,0.2,0.3
0,GasterBlaster,1,0,480,189,246,0,0.2,0.3
0,GasterBlaster,1,640,480,449,366,180,0.2,0.3
0,GasterBlaster,0,0,480,189,436,315,0.2,0.3
0,GasterBlaster,0,0,240,324,106,90,0.2,0.3
0,GasterBlaster,0,640,308.5,506,308.5,180,0.2,0.3
0.699,,,,,,,,,
0,GasterBlaster,1,0,240,139,306,0,0.2,0.3
0,GasterBlaster,1,640,240,426,306,180,0.2,0.3
0,GasterBlaster,1,0,240,324,106,90,0.2,0.3
0,GasterBlaster,1,640,240,324,506,270,0.2,0.3
0,BoneStab,2,65,0.7,0.4,,,,
0,BoneStab,3,65,0.7,0.4,,,,
0,BoneStab,0,5,0.7,0.4,,,,
0,BoneStab,1,5,0.7,0.4,,,,
0,BoneStab,2,5,0.7,0.4,,,,
0,BoneStab,3,5,0.7,0.4,,,,
0,GasterBlaster,0,640,480,449,436,225,0.2,0.3
0.699,,,,,,,,,
0,GasterBlaster,1,640,0,449,176,135,0.2,0.2
0,GasterBlaster,1,0,480,189,436,315,0.2,0.2
0,GasterBlaster,1,640,480,449,436,225,0.2,0.2
0,GasterBlaster,1,0,0,189,176,45,0.2,0.2
0,GasterBlaster,2,0,0,259,166,90,0.2,0.2
0,GasterBlaster,2,640,480,379,446,270,0.2,0.2
0,BoneStab,3,50,0.7,0.3,,,,
0,BoneStab,1,20,0.7,0.3,,,,
0.72,,,,,,,,,
0,BoneStab,0,20,0.7,0.3,,,,
0,GasterBlaster,1,640,0,449,176,135,0.2,0.2
0,GasterBlaster,1,0,480,189,436,315,0.2,0.2
0,GasterBlaster,1,640,480,449,436,225,0.2,0.2
0,GasterBlaster,1,0,0,189,176,45,0.2,0.2
0,GasterBlaster,2,0,480,189,246,0,0.2,0.2
0,GasterBlaster,2,640,480,449,366,180,0.2,0.2
0,BoneStab,2,50,0.7,0.3,,,,
0.777777,,,,,,,,,
0,GasterBlaster,2,66,366,166,366,0,0.201,0.6
0,GasterBlaster,2,381,46,381,146,90,0.201,0.6
0.1,GasterBlaster,2,66,346,166,346,0,0.201,0.6
0,GasterBlaster,2,361,46,361,146,90,0.201,0.6
0.1,GasterBlaster,2,66,326,166,326,0,0.201,0.6
0,GasterBlaster,1,341,46,341,146,90,0.201,0.6
0.1,GasterBlaster,1,66,306,166,306,0,0.201,0.6
0,GasterBlaster,1,321,46,321,146,90,0.201,0.6
0.1,GasterBlaster,1,66,286,166,286,0,0.201,0.6
0,GasterBlaster,1,301,46,301,146,90,0.201,0.6
0,BoneStab,2,15,0.7,0.8,,,,
0,BoneStab,3,15,0.7,0.8,,,,
1.1,,,,,,,,,
0,GasterBlaster,2,0,0,259,166,90,0.2,0.28
0,GasterBlaster,2,640,480,379,446,270,0.2,0.28
0,GasterBlaster,2,0,480,189,246,0,0.2,0.28
0,GasterBlaster,2,640,480,449,366,180,0.2,0.28
0.7,,,,,,,,,
0,GasterBlaster,1,640,0,449,176,135,0.2,0.28
0,GasterBlaster,1,0,480,189,436,315,0.2,0.28
0,GasterBlaster,1,640,480,449,436,225,0.2,0.28
0,GasterBlaster,1,0,0,189,176,45,0.2,0.28
0,bonestab,0,50,0.4,0.28,,,,
0,bonestab,2,50,0.4,0.28,,,,
0,GasterBlaster,0,640,240,324,506,270,0.2,0.28
0.7,,,,,,,,,
0,GasterBlaster,1,640,0,449,176,135,0.2,0.28
0,GasterBlaster,1,0,480,189,436,315,0.2,0.28
0,GasterBlaster,1,640,480,449,436,225,0.2,0.28
0,GasterBlaster,1,0,0,189,176,45,0.2,0.28
